Name,Country_Code,5yr-avg_gdp_pc,5yr-avg_pop,5yr-avg_vuln,5yr-avg_rdness,CO2_emissions_per_capita,Region,Income Group,CO2_emi,5yr-avg_gdp
Tonga,TON,6338.223572,102320.6,0.57235321,0.403388168,1.151354739,East Asia & Pacific,Upper middle income,115.1724138,474266974.9
Trinidad and Tobago,TTO,26895.03801,1383359,0.359769519,0.353549342,13.30402598,Latin America & Caribbean,High income,17361.37931,22649595034
Tunisia,TUN,10686.1723,11435452.2,0.380000665,0.426350048,2.219912208,Middle East & North Africa,Lower middle income,22506.55172,42503990437
Turkey,TUR,27448.08897,81040472.8,0.346966115,0.462459778,3.635245217,Europe & Central Asia,Upper middle income,250358.9655,7.97624E+11
Turkmenistan,TKM,14242.22813,5755665,0.394670501,0.236605048,10.02694024,Europe & Central Asia,Upper middle income,48592.75862,40023142857
Tuvalu,TUV,3950.521359,11369.6,,0.561133527,1.005386605,East Asia & Pacific,Upper middle income,10,43176446.02
Uganda,UGA,2147.253419,41205631.4,0.579092244,0.293617642,0.083620797,Sub-Saharan Africa,Low income,2591.034483,33165783423
Ukraine,UKR,11830.79994,44799503.6,0.36787868,0.409621372,6.799553167,Europe & Central Asia,Lower middle income,331448.9655,1.29144E+11
United Arab Emirates,ARE,66948.65493,9502514.2,0.358577457,0.575290907,25.21567441,Middle East & North Africa,High income,122649.3103,3.8819E+11
United Kingdom,GBR,46250.28308,66016284,0.286855753,0.702415046,8.24289252,Europe & Central Asia,High income,497944.4828,2.79223E+12
United States,USA,60629.43539,324697807.4,0.32488116,0.678530609,18.27607789,North America,High income,5294305.862,2.02572E+13
Uruguay,URY,21368.84454,3436764,0.386154304,0.493880561,1.763794918,Latin America & Caribbean,High income,5858.62069,60169126988
Uzbekistan,UZB,6708.668487,32414430,0.381253918,0.346738309,4.406069046,Europe & Central Asia,Lower middle income,113920,64138076173
Vanuatu,VUT,3114.023326,285506.4,0.545612158,0.364387236,0.475455094,East Asia & Pacific,Lower middle income,102.0689655,878346120.2
"Venezuela, Bolivarian Republic o",VEN,,29340888.2,0.385574155,0.208376058,5.604854674,Latin America & Caribbean,0,144288.6207,
Viet Nam,VNM,7199.937979,94582988.6,0.480705607,0.404365221,1.12463679,East Asia & Pacific,Lower middle income,98366.55172,2.4147E+11
Yemen,YEM,,27832305.8,0.555427514,0.257463101,0.771935397,Middle East & North Africa,Low income,15360,26587878311
Zambia,ZMB,3510.279754,16861881.6,0.52283655,0.333226998,0.24815361,Sub-Saharan Africa,Lower middle income,3042.758621,22912580647
Zimbabwe,ZWE,2936.38765,14233250,0.522964428,0.211735504,1.058835377,Sub-Saharan Africa,Lower middle income,12748.27586,18716914673
